label,fps,frame_ms,draw_calls,tris,entities
baseline_F2H42,59.9395,17.1697,19,16996,285
baseline_F2H42,59.9866,15.8205,19,16996,285
baseline_F2H42,60.0146,16.0041,19,16996,285
baseline_F2H42,59.9999,15.7615,19,16996,285
baseline_F2H42,59.9768,16.7918,19,16996,285
baseline_F2H42,59.9984,16.5092,19,16996,285
baseline_F2H42,59.9773,15.912,19,16996,285
baseline_F2H42,60.0257,17.1638,19,16996,285
baseline_F2H42,60.0218,16.1023,19,16996,285
baseline_F2H42,59.9635,16.0468,19,16996,285
baseline_F2H42,60.0031,16.9897,19,16996,285
baseline_F2H42,60.0513,17.1411,19,16996,285
baseline_F2H42,59.9892,16.1601,19,16996,285
baseline_F2H42,60.0353,16.1963,19,16996,285
baseline_F2H42,60.0097,17.1029,19,16996,285
baseline_F2H42,59.9543,17.5289,19,16996,285
baseline_F2H42,60.0682,15.6387,19,16996,285
after_shadow_cache_F2H42,59.9817,16.7584,19,16996,285
after_shadow_cache_F2H42,59.9981,17.4019,19,16996,285
after_shadow_cache_F2H42,59.9866,15.1626,19,16996,285
after_shadow_cache_F2H42,60.0554,17.1716,19,16996,285
after_shadow_cache_F2H42,59.9755,17.7238,19,16996,285
after_shadow_cache_F2H42,59.9618,16.3984,19,16996,285
after_shadow_cache_F2H42,60.0532,14.6638,19,16996,285
after_shadow_cache_F2H42,59.5187,22.244,19,16996,285
after_shadow_cache_F2H42,60.0113,16.8072,19,16996,285
after_shadow_cache_F2H42,60.057,17.1237,19,16996,285
after_shadow_cache_F2H42,60.018,15.1396,19,16996,285
after_shadow_cache_F2H42,60.0337,17.8905,19,16996,285
after_shadow_cache_F2H42,60.0882,16.4912,19,16996,285
after_shadow_cache_F2H42,60.018,15.5131,19,16996,285
vsync_on_F2H42,59.9987,16.6802,19,16996,285
vsync_on_F2H42,59.9985,16.6749,19,16996,285
vsync_on_F2H42,60.0122,16.6649,19,16996,285
vsync_on_F2H42,59.9998,16.6534,19,16996,285
vsync_on_F2H42,59.9987,16.6982,19,16996,285
vsync_on_F2H42,59.9986,16.691,19,16996,285
vsync_on_F2H42,59.9993,16.677,19,16996,285
vsync_off_F2H42,784.97,1.2684,19,16996,285
vsync_off_F2H42,810.205,1.171,19,16996,285
vsync_off_F2H42,767.139,1.6739,19,16996,285
vsync_off_F2H42,747.971,2.8223,19,16996,285
vsync_off_F2H42,768.638,1.5432,19,16996,285
vsync_off_F2H42,766.608,1.265,19,16996,285
vsync_off_F2H42,789.796,1.3978,19,16996,285
vsync_off_skybox_reorder_F2H42,744.125,1.1774,19,16768,285
vsync_off_skybox_reorder_F2H42,757.263,1.3444,19,16768,285
vsync_off_skybox_reorder_F2H42,751.383,1.5031,19,16768,285
vsync_off_skybox_reorder_F2H42,733.321,1.2405,19,16768,285
vsync_off_skybox_reorder_F2H42,748.931,1.3104,19,16768,285
vsync_off_skybox_reorder_F2H42,742.543,1.7678,19,16768,285
vsync_off_skybox_reorder_F2H42,739.992,1.4486,19,16768,285
vsync_off_skybox_reorder_F2H42,747.025,1.1901,19,16768,285
vsync_off_skybox_reorder_F2H42,718.208,1.187,19,16768,285
vsync_off_skybox_reorder_F2H42,741.58,1.2767,19,16768,285
vsync_off_skybox_reorder_F2H42,757.385,1.2285,19,16768,285
vsync_off_skybox_reorder_F2H42,757.106,1.4121,19,16768,285
vsync_off_skybox_reorder_F2H42,756.368,1.1771,19,16768,285
vsync_off_skybox_reorder_F2H42,711.964,1.5482,19,16768,285
vsync_off_skybox_reorder_F2H42,733.578,1.3839,19,16768,285
vsync_off_skybox_reorder_F2H42,761.765,1.2778,19,16768,285
